Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
8,420000;10,995111;0,078751;0,000000;3,924489
8,440000;11,021734;0,078942;0,000000;3,933992
8,460000;11,048356;0,079133;0,000000;3,943494
8,480000;11,074979;0,079323;0,000000;3,952997
8,500000;11,101601;0,079514;0,000000;3,962499
8,520000;11,128224;0,079705;0,000000;3,972001
8,540000;11,154847;0,079895;0,000000;3,981504
8,560000;11,181469;0,080086;0,000000;3,991006
8,580000;11,208092;0,080277;0,000000;4,000509
8,600000;11,234714;0,080467;0,000000;4,010011
8,620000;11,261337;0,080658;0,000000;4,019513
8,640000;11,287959;0,080849;0,000000;4,029016
8,660000;11,314582;0,081039;0,000000;4,038518
8,680000;11,341204;0,081230;0,000000;4,048021
8,700000;11,367827;0,081421;0,000000;4,057523
8,720000;11,394449;0,081611;0,000000;4,067025
8,740000;11,421072;0,081802;0,000000;4,076528
8,760000;11,447695;0,081993;0,000000;4,086030
8,780000;11,474317;0,082184;0,000000;4,095533
8,800000;11,500940;0,082374;0,000000;4,105035
8,820000;11,527562;0,082565;0,000000;4,114537
8,840000;11,554185;0,082756;0,000000;4,124040
8,860000;11,580807;0,082946;0,000000;4,133542
8,880000;11,607430;0,083137;0,000000;4,143045
8,900000;11,634052;0,083328;0,000000;4,152547
8,920000;11,660675;0,083518;0,000000;4,162049
8,940000;11,687297;0,083709;0,000000;4,171552
8,960000;11,713920;0,083900;0,000000;4,181054
8,980000;11,740543;0,084090;0,000000;4,190557
9,000000;11,767165;0,084281;0,000000;4,200059
9,020000;11,793788;0,084472;0,000000;4,209561
9,040000;11,820410;0,084662;0,000000;4,219064
9,060000;11,847033;0,084853;0,000000;4,228566
9,080000;11,873655;0,085044;0,000000;4,238069
9,100000;11,900278;0,085234;0,000000;4,247571
9,120000;11,926900;0,085425;0,000000;4,257073
9,140000;11,953523;0,085616;0,000000;4,266576
9,160000;11,980145;0,085806;0,000000;4,276078
9,180000;12,006768;0,085997;0,000000;4,285580
9,200000;12,033391;0,086188;0,000000;4,295083
9,220000;12,060013;0,086378;0,000000;4,304585
9,240000;12,086636;0,086569;0,000000;4,314088
9,260000;12,113258;0,086760;0,000000;4,323590
9,280000;12,139881;0,086951;0,000000;4,333092
9,300000;12,166503;0,087141;0,000000;4,342595
9,320000;12,193126;0,087332;0,000000;4,352097
9,340000;12,219748;0,087523;0,000000;4,361600
9,360000;12,246371;0,087713;0,000000;4,371102
9,380000;12,272993;0,087904;0,000000;4,380604
9,400000;12,299616;0,088095;0,000000;4,390107
9,420000;12,326239;0,088285;0,000000;4,399609
9,440000;12,352861;0,088476;0,000000;4,409112
9,460000;12,379484;0,088667;0,000000;4,418614
9,480000;12,406106;0,088857;0,000000;4,428116
9,500000;12,432729;0,089048;0,000000;4,437619
9,520000;12,459351;0,089239;0,000000;4,447121
9,540000;12,485974;0,089429;0,000000;4,456624
